tarif_adi,beslenme_turu,malzemeler,pisirme_suresi,ev_aletleri,kalori
Kinoa Salatası,vejetaryen beslenme,"{'kinoa': '200g', 'domates': '2 adet', 'salatalık': '1 adet', 'marul': '100g', 'maydanoz': '50g', 'limon suyu': '2 yemek kaşığı', 'zeytinyağı': '1 yemek kaşığı', 'tuz': 'yarım çay kaşığı', 'karabiber': 'çeyrek çay kaşığı'}",20 dakika,"['tencere', 'bıçak', 'rendeleme aleti']",200 kcal
Fırında Sebzeli Tofu,vegan beslenme,"{'tofu': '300g', 'patlıcan': '2 adet', 'kabak': '1 adet', 'biber': '2 adet', 'sarımsak': '3 diş', 'zeytinyağı': '2 yemek kaşığı', 'tuz': 'yarım çay kaşığı', 'kekik': '1 çay kaşığı'}",30 dakika,"['fırın', 'fırın tepsisi', 'bıçak']",250 kcal
Fırında Somon,pesketaryen beslenme,"{'somon balığı': '400g', 'limon': '1 adet', 'dereotu': '50g', 'zeytinyağı': '2 yemek kaşığı', 'tuz': 'yarım çay kaşığı', 'karabiber': 'çeyrek çay kaşığı'}",25 dakika,"['fırın', 'fırın tepsisi', 'bıçak']",300 kcal
Karnabahar Pirinç Pilavı,glutensiz beslenme,"{'karnabahar': '1 baş', 'pirinç': '1 su bardağı', 'soğan': '1 adet', 'sarımsak': '2 diş', 'zeytinyağı': '2 yemek kaşığı', 'tuz': 'yarım çay kaşığı', 'su': '2 su bardağı'}",30 dakika,"['tencere', 'bıçak', 'rendeleme aleti']",180 kcal
Keto Kırmızı Etli Sebze Güveç,ketojenik beslenme,"{'dana kuşbaşı et': '300g', 'kabak': '2 adet', 'patlıcan': '1 adet', 'domates': '2 adet', 'sarımsak': '3 diş', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",40 dakika,"['fırın', 'fırın tepsisi', 'bıçak']",350 kcal
Ispanaklı ve Peynirli Omlet,vejetaryen beslenme,"{'yumurta': '3 adet', 'ıspanak': '100g', 'peynir': '50g', 'tuz': 'yarım çay kaşığı', 'karabiber': 'çeyrek çay kaşığı', 'zeytinyağı': '1 yemek kaşığı'}",15 dakika,"['tava', 'çırpma kabı', 'bıçak']",280 kcal
Vegan Mercimek Köftesi,vegan beslenme,"{'kırmızı mercimek': '1 su bardağı', 'soğan': '1 adet', 'maydanoz': '50g', 'domates salçası': '2 yemek kaşığı', 'kimyon': '1 çay kaşığı', 'tuz': 'yarım çay kaşığı', 'zeytinyağı': '2 yemek kaşığı', 'limon suyu': '1 yemek kaşığı'}",30 dakika,"['tencere', 'karıştırma kabı', 'bıçak']",220 kcal
Fırında Tavuk ve Sebzeler,paleo beslenme,"{'tavuk göğsü': '400g', 'patates': '2 adet', 'havuç': '2 adet', 'soğan': '1 adet', 'sarımsak': '3 diş', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'kekik': '1 çay kaşığı'}",45 dakika,"['fırın', 'fırın tepsisi', 'bıçak']",320 kcal
Kabak Spagetti,glutensiz beslenme,"{'kabak': '2 adet', 'domates sosu': '200g', 'sarımsak': '2 diş', 'zeytinyağı': '2 yemek kaşığı', 'tuz': 'yarım çay kaşığı', 'karabiber': 'çeyrek çay kaşığı', 'rendelenmiş parmesan peyniri': '50g'}",20 dakika,"['tava', 'rendeleme aleti', 'bıçak']",180 kcal
Diyet Yoğurtlu Meyve Salatası,diyabetik beslenme,"{'yoğurt': '200g', 'çilek': '100g', 'mango': '1 adet', 'elma': '1 adet', 'ceviz': '20g', 'tarçın': 'yarım çay kaşığı'}",15 dakika,"['karıştırma kabı', 'bıçak']",150 kcal
Mantarlı Bulgur Pilavı,vejetaryen beslenme,"{'mantar': '200g', 'büyük bulgur': '1 su bardağı', 'soğan': '1 adet', 'biber': '1 adet', 'domates salçası': '1 yemek kaşığı', 'sıvı yağ': '2 yemek kaşığı', 'tuz': 'yarım çay kaşığı', 'su': '2 su bardağı'}",25 dakika,"['tencere', 'bıçak']",240 kcal
Fırında Patates Tava,vejetaryen beslenme,"{'patates': '4 adet', 'soğan': '2 adet', 'biber': '2 adet', 'domates': '2 adet', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı', 'kekik': '1 çay kaşığı'}",40 dakika,"['fırın', 'fırın tepsisi', 'bıçak']",220 kcal
Vegan Kırmızı Mercimek Çorbası,vegan beslenme,"{'kırmızı mercimek': '1 su bardağı', 'soğan': '1 adet', 'havuç': '1 adet', 'patates': '1 adet', 'domates salçası': '1 yemek kaşığı', 'zeytinyağı': '2 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",35 dakika,"['tencere', 'bıçak']",200 kcal
Fırında Balık Tava,pesketaryen beslenme,"{'balık filetosu': '400g', 'patates': '2 adet', 'havuç': '2 adet', 'soğan': '1 adet', 'limon': '1 adet', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",35 dakika,"['fırın', 'fırın tepsisi', 'bıçak']",290 kcal
Kırmızı Et Chili,fleksitaryen beslenme,"{'kıyma': '300g', 'kırmızı fasulye': '1 kutu', 'domates': '2 adet', 'soğan': '1 adet', 'biber': '2 adet', 'sarımsak': '3 diş', 'zeytinyağı': '2 yemek kaşığı', 'tuz': '1 çay kaşığı', 'kekik': '1 çay kaşığı'}",45 dakika,"['tencere', 'bıçak']",320 kcal
Karidesli Avokado Salatası,ketojenik beslenme,"{'karides': '200g', 'avokado': '2 adet', 'marul': '100g', 'domates': '1 adet', 'zeytinyağı': '2 yemek kaşığı', 'limon suyu': '2 yemek kaşığı', 'tuz': 'yarım çay kaşığı', 'karabiber': 'çeyrek çay kaşığı'}",15 dakika,"['bıçak', 'rendeleme aleti']",250 kcal
Köri Soslu Tavuk,fonksiyonel beslenme,"{'tavuk göğsü': '400g', 'soğan': '1 adet', 'sarımsak': '2 diş', 'zeytinyağı': '2 yemek kaşığı', 'köri tozu': '2 çay kaşığı', 'hindistancevizi sütü': '200ml', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",30 dakika,"['tava', 'bıçak']",280 kcal
Fırında Elmalı Tarçınlı Yulaf Ezmesi,glutensiz beslenme,"{'yulaf ezmesi': '1 su bardağı', 'elma': '1 adet', 'bal': '2 yemek kaşığı', 'tarçın': '1 çay kaşığı', 'badem': '10 adet', 'süt': '200ml'}",25 dakika,"['fırın', 'fırın kabı', 'bıçak']",230 kcal
Karbonatlı Limonata,çiğ beslenme,"{'limon suyu': '3 adet', 'karbonat': '1 çay kaşığı', 'su': '500ml', 'taze nane yaprakları': 'bir avuç', 'limon dilimleri': 'süslemek için'}",5 dakika,"['karıştırma kabı', 'bıçak']",20 kcal
Ton Balıklı Quinoa Salatası,klimateryen beslenme,"{'ton balığı': '1 kutu', 'quinoa': '100g', 'salatalık': '1 adet', 'domates': '1 adet', 'marul': '100g', 'zeytinyağı': '2 yemek kaşığı', 'limon suyu': '2 yemek kaşığı', 'tuz': 'yarım çay kaşığı', 'karabiber': 'çeyrek çay kaşığı'}",25 dakika,"['tencere', 'bıçak']",280 kcal
Fırında Kaşarlı Karnabahar,vejetaryen beslenme,"{'karnabahar': '1 baş', 'rendelenmiş kaşar peyniri': '100g', 'sarımsak': '3 diş', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",40 dakika,"['fırın', 'fırın tepsisi', 'bıçak']",240 kcal
Vegan Mercimek Köftesi,vegan beslenme,"{'kırmızı mercimek': '1 su bardağı', 'soğan': '1 adet', 'maydanoz': 'bir avuç', 'rendelenmiş havuç': '1 adet', 'zeytinyağı': '3 yemek kaşığı', 'un': '2 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",45 dakika,"['tencere', 'bıçak']",220 kcal
Peynirli Karides Linguine,pesketaryen beslenme,"{'linguine makarna': '300g', 'karides': '300g', 'parmesan peyniri': '100g', 'sarımsak': '3 diş', 'taze maydanoz': 'bir avuç', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",25 dakika,"['tencere', 'tava', 'bıçak']",350 kcal
Glutensiz Kinoa Pilavı,glutensiz beslenme,"{'kırmızı kinoa': '1 su bardağı', 'rendelenmiş havuç': '1 adet', 'mısır': '1 su bardağı', 'bezelye': '1 su bardağı', 'sarımsak': '2 diş', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı'}",20 dakika,"['tencere', 'bıçak']",280 kcal
Keto Hindi Fajita,ketojenik beslenme,"{'hindi göğsü': '400g', 'biber': '2 adet', 'soğan': '1 adet', 'mantar': '200g', 'zeytinyağı': '3 yemek kaşığı', 'taco baharatı': '1 yemek kaşığı', 'tuz': '1 çay kaşığı'}",30 dakika,"['tava', 'bıçak']",290 kcal
Diyabetik Kıymalı Bezelye Yemeği,diyabetik beslenme,"{'kıyma': '300g', 'bezelye': '300g', 'soğan': '1 adet', 'domates': '2 adet', 'sarımsak': '2 diş', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",35 dakika,"['tencere', 'bıçak']",260 kcal
Köri Soslu Somon,fonksiyonel beslenme,"{'somon fileto': '400g', 'hindistancevizi sütü': '200ml', 'köri tozu': '1 yemek kaşığı', 'limon suyu': '2 yemek kaşığı', 'sarımsak': '2 diş', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",25 dakika,"['fırın', 'fırın tepsisi', 'bıçak']",320 kcal
Glutensiz Kabaklı Pizza,glutensiz beslenme,"{'kabak': '2 adet', 'rendelenmiş kaşar peyniri': '150g', 'domates sosu': '200ml', 'mantar': '100g', 'biber': '1 adet', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",30 dakika,"['fırın', 'fırın tepsisi', 'rendeleme aleti']",250 kcal
Çiğ Meyveli Smoothie Bowl,çiğ beslenme,"{'muz': '1 adet', 'çilek': 'bir avuç', 'ananas': 'bir dilim', 'badem sütü': '200ml', 'bal': '1 yemek kaşığı', 'granola': 'bir avuç', 'hindistancevizi rendesi': '1 yemek kaşığı'}",5 dakika,['blender'],270 kcal
Klimateryen Enginar Salatası,klimateryen beslenme,"{'enginar': '2 adet', 'marul': 'bir avuç', 'domates': '1 adet', 'sarımsak': '2 diş', 'zeytinyağı': '3 yemek kaşığı', 'limon suyu': '2 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",25 dakika,"['tencere', 'bıçak']",230 kcal
Közlenmiş Patlıcan Salatası,vejetaryen beslenme,"{'patlıcan': '2 adet', 'domates': '2 adet', 'yeşil biber': '1 adet', 'soğan': '1 adet', 'maydanoz': 'bir avuç', 'nar ekşisi': '2 yemek kaşığı', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'sumak': 'yarım çay kaşığı'}",30 dakika,"['fırın', 'tava', 'bıçak']",180 kcal
Nohutlu Bulgur Pilavı,vejetaryen beslenme,"{'büyük bulgur': '1 su bardağı', 'nohut': '1 su bardağı', 'domates salçası': '1 yemek kaşığı', 'zeytinyağı': '2 yemek kaşığı', 'tuz': 'yarım çay kaşığı', 'karabiber': 'yarım çay kaşığı', 'kimyon': 'yarım çay kaşığı', 'su': '2 su bardağı'}",25 dakika,"['tencere', 'bıçak']",250 kcal
Vegan Mercimek Böreği,vegan beslenme,"{'yufka': '4 adet', 'kırmızı mercimek': '1 su bardağı', 'soğan': '1 adet', 'maydanoz': 'bir avuç', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",40 dakika,"['fırın', 'fırın tepsisi', 'tava', 'bıçak']",280 kcal
Fırında Sebzeli Hindi Tava,glutensiz beslenme,"{'hindi eti': '500g', 'patates': '3 adet', 'havuç': '2 adet', 'sarımsak': '3 diş', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'kekik': '1 çay kaşığı', 'limon': '1 adet'}",50 dakika,"['fırın', 'fırın tepsisi', 'bıçak']",320 kcal
Keto Brokoli Salatası,ketojenik beslenme,"{'brokoli': '1 baş', 'kavrulmuş badem': '50g', 'çedar peyniri': '50g', 'mayonez': '3 yemek kaşığı', 'limon suyu': '1 yemek kaşığı', 'tuz': 'yarım çay kaşığı', 'karabiber': 'çeyrek çay kaşığı'}",20 dakika,"['tencere', 'bıçak', 'rendeleme aleti']",280 kcal
Diyabetik Kıymalı Kabak Dolması,diyabetik beslenme,"{'kabak': '4 adet', 'kıyma': '300g', 'soğan': '1 adet', 'pirinç': '1 su bardağı', 'domates salçası': '2 yemek kaşığı', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı', 'su': '2 su bardağı'}",45 dakika,"['fırın', 'tencere', 'bıçak']",260 kcal
Peynirli Karnabahar Püresi,fonksiyonel beslenme,"{'karnabahar': '1 baş', 'rendelenmiş kaşar peyniri': '100g', 'süt': '100ml', 'tereyağı': '2 yemek kaşığı', 'tuz': 'yarım çay kaşığı', 'karabiber': 'çeyrek çay kaşığı'}",20 dakika,"['tencere', 'rendeleme aleti']",230 kcal
Glutensiz Elmalı Kek,glutensiz beslenme,"{'glutensiz un karışımı': '1 su bardağı', 'toz şeker': 'yarım su bardağı', 'yumurta': '2 adet', 'elma': '2 adet', 'tarçın': '1 çay kaşığı', 'kabartma tozu': '1 çay kaşığı', 'vanilya özü': 'yarım çay kaşığı', 'zeytinyağı': 'yarım su bardağı'}",40 dakika,"['fırın', 'kek kalıbı', 'karıştırma kabı']",200 kcal
Çiğ Sebzeli Somon Poke Bowl,çiğ beslenme,"{'somon fileto': '300g', 'avokado': '1 adet', 'havuç': '1 adet', 'salatalık': '1 adet', 'kırmızı lahana': '100g', 'sushi pirinci': '1 su bardağı', 'soya sosu': '2 yemek kaşığı', 'susam yağı': '1 yemek kaşığı', 'susam': '1 yemek kaşığı'}",20 dakika,"['bıçak', 'rendeleme aleti']",300 kcal
Yeşil Mercimek Köftesi,klimateryen beslenme,"{'yeşil mercimek': '1 su bardağı', 'soğan': '1 adet', 'maydanoz': 'bir avuç', 'karabiber': 'yarım çay kaşığı', 'kimyon': 'yarım çay kaşığı', 'tuz': 'yarım çay kaşığı', 'zeytinyağı': '2 yemek kaşığı'}",40 dakika,"['tencere', 'karıştırma kabı']",220 kcal
Kremalı Brokoli Çorbası,vejetaryen beslenme,"{'brokoli': '1 baş', 'soğan': '1 adet', 'sarımsak': '2 diş', 'patates': '1 adet', 'krema': '200 ml', 'tuz': 'yarım çay kaşığı', 'karabiber': 'yarım çay kaşığı', 'zeytinyağı': '2 yemek kaşığı'}",30 dakika,"['tencere', 'blender', 'bıçak']",220 kcal
Vegan Fasulye Yemeği,vegan beslenme,"{'kuru fasulye': '1 su bardağı', 'soğan': '1 adet', 'domates': '2 adet', 'patates': '2 adet', 'havuç': '1 adet', 'sarımsak': '2 diş', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'kimyon': 'yarım çay kaşığı'}",60 dakika,"['tencere', 'bıçak']",250 kcal
Fırında Balık Tacos,pesketaryen beslenme,"{'beyaz etli balık filetosu': '400g', 'taco kabukları': '8 adet', 'marul': 'bir avuç', 'domates': '2 adet', 'soğan': '1 adet', 'limon': '2 adet', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",30 dakika,"['fırın', 'fırın tepsisi', 'bıçak']",290 kcal
Kıymalı Ispanaklı Börek,glutensiz beslenme,"{'glutensiz yufka': '4 adet', 'kiyma': '300g', 'ıspanak': '300g', 'soğan': '1 adet', 'sarımsak': '2 diş', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",45 dakika,"['fırın', 'fırın tepsisi', 'tava', 'bıçak']",280 kcal
Keto Tavuk Salatası,ketojenik beslenme,"{'tavuk göğsü': '300g', 'marul': '100g', 'domates': '1 adet', 'salatalık': '1 adet', 'avokado': '1 adet', 'zeytinyağı': '2 yemek kaşığı', 'limon suyu': '1 yemek kaşığı', 'tuz': 'yarım çay kaşığı', 'karabiber': 'çeyrek çay kaşığı'}",20 dakika,"['tava', 'bıçak']",270 kcal
Diyabetik Hindi Güveç,diyabetik beslenme,"{'hindi eti': '400g', 'patates': '2 adet', 'havuç': '2 adet', 'soğan': '1 adet', 'sarımsak': '3 diş', 'domates': '2 adet', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'kekik': '1 çay kaşığı'}",50 dakika,"['fırın', 'fırın tepsisi', 'tava', 'bıçak']",320 kcal
Fonksiyonel Kahvaltı Smoothiesi,fonksiyonel beslenme,"{'muz': '1 adet', 'ıspanak': 'bir avuç', 'avokado': 'yarım adet', 'badem sütü': '200ml', 'bal': '1 yemek kaşığı', 'chia tohumu': '1 yemek kaşığı'}",5 dakika,['blender'],250 kcal
Glutensiz Kahvaltılık Muffin,glutensiz beslenme,"{'glutensiz un karışımı': '1 su bardağı', 'yumurta': '2 adet', 'süt': '100ml', 'zeytinyağı': '50ml', 'mısır unu': '2 yemek kaşığı', 'kabartma tozu': '1 çay kaşığı', 'tuz': 'yarım çay kaşığı'}",25 dakika,"['fırın', 'muffin kalıbı', 'karıştırma kabı']",210 kcal
Çiğ Sebzeli Noodle Salatası,çiğ beslenme,"{'havuç': '2 adet', 'kabak': '2 adet', 'hindi göğsü': '200g', 'soya sosu': '2 yemek kaşığı', 'zeytinyağı': '2 yemek kaşığı', 'limon suyu': '1 yemek kaşığı', 'taze zencefil': '1 çay kaşığı', 'tuz': 'yarım çay kaşığı'}",15 dakika,"['rendeleme aleti', 'bıçak']",280 kcal
Narlı Kinoa Salatası,klimateryen beslenme,"{'kırmızı kinoa': '1 su bardağı', 'nar': '1 adet', 'maydanoz': 'bir avuç', 'zeytinyağı': '3 yemek kaşığı', 'limon suyu': '2 yemek kaşığı', 'tuz': 'yarım çay kaşığı', 'karabiber': 'çeyrek çay kaşığı'}",20 dakika,"['tencere', 'bıçak']",270 kcal
Izgara Sebzeli Quinoa Salatası,vejetaryen beslenme,"{'quinoa': '1 su bardağı', 'patlıcan': '1 adet', 'kabak': '1 adet', 'kırmızı biber': '1 adet', 'sarı biber': '1 adet', 'soğan': '1 adet', 'zeytinyağı': '3 yemek kaşığı', 'limon suyu': '2 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",25 dakika,"['ızgara', 'tencere', 'bıçak']",230 kcal
Vegan Sebzeli Noodle Stir-Fry,vegan beslenme,"{'tam buğday noodle': '200g', 'brokoli': '1 baş', 'havuç': '2 adet', 'biber': '1 adet', 'soğan': '1 adet', 'sarımsak': '3 diş', 'soya sosu': '3 yemek kaşığı', 'susam yağı': '2 yemek kaşığı', 'zencefil': '1 çay kaşığı', 'tuz': 'yarım çay kaşığı'}",30 dakika,"['tava', 'tencere', 'bıçak']",280 kcal
Balık Tacos,pesketaryen beslenme,"{'beyaz etli balık filetosu': '400g', 'taco kabukları': '8 adet', 'kırmızı lahana': '1 adet', 'domates': '2 adet', 'soğan': '1 adet', 'maydanoz': 'bir avuç', 'limon': '2 adet', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",25 dakika,"['fırın', 'fırın tepsisi', 'bıçak']",290 kcal
Glutensiz Kıymalı Lazanya,glutensiz beslenme,"{'glutensiz lazanya yaprakları': '200g', 'kıyma': '300g', 'sarımsak': '3 diş', 'domates sosu': '500ml', 'rendelenmiş kaşar peyniri': '100g', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",45 dakika,"['fırın', 'fırın tepsisi', 'tencere', 'bıçak']",320 kcal
Keto Brokoli ve Peynir Tabağı,ketojenik beslenme,"{'brokoli': '1 baş', 'rendelenmiş cheddar peyniri': '100g', 'avokado': '1 adet', 'zeytinyağı': '2 yemek kaşığı', 'limon suyu': '1 yemek kaşığı', 'tuz': 'yarım çay kaşığı', 'karabiber': 'çeyrek çay kaşığı'}",20 dakika,"['fırın', 'bıçak']",280 kcal
Diyabetik Barbunya Pilaki,diyabetik beslenme,"{'barbunya': '300g', 'soğan': '1 adet', 'havuç': '1 adet', 'domates': '2 adet', 'sarımsak': '2 diş', 'zeytinyağı': '3 yemek kaşığı', 'limon suyu': '2 yemek kaşığı', 'tuz': '1 çay kaşığı', 'toz şeker': 'yarım çay kaşığı'}",40 dakika,"['tencere', 'bıçak']",250 kcal
Fonksiyonel Mantar Sote,fonksiyonel beslenme,"{'mantar': '300g', 'soğan': '1 adet', 'sarımsak': '2 diş', 'taze kekik': 'bir avuç', 'zeytinyağı': '3 yemek kaşığı', 'limon suyu': '2 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",20 dakika,"['tava', 'bıçak']",120 kcal
Glutensiz Pancake,glutensiz beslenme,"{'yulaf unu': '1 su bardağı', 'yumurta': '2 adet', 'süt': '150ml', 'bal': '2 yemek kaşığı', 'vanilya özütü': 'yarım çay kaşığı', 'kabartma tozu': '1 çay kaşığı', 'tuz': 'çeyrek çay kaşığı', 'zeytinyağı': '2 yemek kaşığı'}",15 dakika,"['tava', 'karıştırma kabı']",180 kcal
Çiğ Elma ve Havuç Salatası,çiğ beslenme,"{'elma': '2 adet', 'havuç': '2 adet', 'ceviz içi': 'bir avuç', 'limon suyu': '2 yemek kaşığı', 'bal': '1 yemek kaşığı', 'taze nane': 'bir avuç'}",10 dakika,"['rendeleme aleti', 'bıçak']",150 kcal
Klimateryen Kırmızı Lahana Salatası,klimateryen beslenme,"{'kırmızı lahana': '1 baş', 'havuç': '1 adet', 'nar': '1 adet', 'zeytinyağı': '3 yemek kaşığı', 'limon suyu': '2 yemek kaşığı', 'tuz': '1 çay kaşığı', 'kimyon': 'yarım çay kaşığı'}",15 dakika,"['rendeleme aleti', 'bıçak']",170 kcal
Fırında Tavuk Kapama,ketojenik beslenme,"{'tavuk budu': '4 adet', 'patates': '2 adet', 'havuç': '2 adet', 'soğan': '1 adet', 'sarımsak': '3 diş', 'biber salçası': '2 yemek kaşığı', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",50 dakika,"['fırın', 'fırın tepsisi', 'tencere', 'bıçak']",320 kcal
Vejetaryen Kumpir,vejetaryen beslenme,"{'patates': '4 adet', 'kaşar peyniri': '100g', 'mısır': '1 su bardağı', 'marul': 'bir avuç', 'domates': '2 adet', 'turşu': '4 adet', 'zeytinyağı': '2 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",60 dakika,"['fırın', 'fırın tepsisi', 'bıçak']",280 kcal
Glutensiz Patates Pizza,glutensiz beslenme,"{'patates': '4 adet', 'domates sosu': '200ml', 'rendelenmiş kaşar peyniri': '100g', 'mantar': '100g', 'biber': '1 adet', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",35 dakika,"['fırın', 'fırın tepsisi', 'rendeleme aleti']",250 kcal
Çıtır Tavuk Nuggets,çiğ beslenme,"{'tavuk göğsü': '400g', 'sarımsak tozu': '1 çay kaşığı', 'soğan tozu': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı', 'tuz': '1 çay kaşığı', 'yumurta': '2 adet', 'badem unu': '1 su bardağı'}",20 dakika,"['fırın', 'fırın tepsisi', 'karıştırma kabı']",290 kcal
